Example,Model,Type,Index,Estimate,SE,Platform
Deryugina,Baseline,Placebo,4,-0.0091429871822088,0.0033686428914515,Stata
Deryugina,Baseline,Placebo,5,-0.0075546179921504,0.0039816464675678,Stata
Deryugina,Baseline,Placebo,6,-0.0073115140369315,0.0043748194350685,Stata
Deryugina,Baseline,Placebo,7,-0.0079583384111187,0.0047566441553619,Stata
Deryugina,Baseline,Placebo,8,-0.0088409639578879,0.0053183751521292,Stata
Deryugina,Baseline,Placebo,9,-0.0143815702182803,0.0058362585412934,Stata
Deryugina,Baseline,Placebo,10,-0.0086497799450073,0.0061280910298887,Stata
Deryugina,Baseline,Placebo,11,-0.0035923793101061,0.0066903976720134,Stata
Deryugina,Baseline,Avg_Effect,0,0.3190720838826279,0.0406001082050671,Stata
Gentzkow,Non_Normalized,Effect,1,0.014424434385508,0.0042476518385945,Stata
Gentzkow,Non_Normalized,Effect,2,0.0190899417120848,0.0058428892649867,Stata
Gentzkow,Non_Normalized,Effect,3,0.0207146717465281,0.0079163611938503,Stata
Gentzkow,Non_Normalized,Effect,4,0.0272653448598984,0.0097923569034076,Stata
Gentzkow,Non_Normalized,Placebo,1,-0.0005024747702443,0.0051322405480301,Stata
Gentzkow,Non_Normalized,Placebo,2,0.002059406457175,0.0085030744853346,Stata
Gentzkow,Non_Normalized,Placebo,3,-0.0015364930550216,0.0116824694226158,Stata
Gentzkow,Non_Normalized,Placebo,4,0.0006572647878747,0.0175031685936167,Stata
Gentzkow,Non_Normalized,Avg_Effect,0,0.0160564992255824,0.0047760609186379,Stata
Gentzkow,Normalized,Effect,1,0.01201857161618,0.0035391826437255,Stata
Gentzkow,Normalized,Effect,2,0.0082125706150681,0.0025136347406629,Stata
Gentzkow,Normalized,Effect,3,0.0057192022341636,0.0021856619878084,Stata
Gentzkow,Normalized,Effect,4,0.0053872703139323,0.001934839772621,Stata
Gentzkow,Normalized,Placebo,1,-0.0004158094067913,0.0042470468651566,Stata
Gentzkow,Normalized,Placebo,2,0.0008699417935676,0.0035918989390555,Stata
Gentzkow,Normalized,Placebo,3,-0.0004201185140541,0.0031943012552325,Stata
Gentzkow,Normalized,Placebo,4,0.0001394198050939,0.003712793380791,Stata
Gentzkow,Normalized,Avg_Effect,0,0.0160564992255824,0.0047760609186379,Stata
Wagepan,Baseline,Effect,1,0.0409507589219753,0.0339709086428129,R
Wagepan,Baseline,Effect,2,0.0218878146052099,0.0393387790490505,R
Wagepan,Baseline,Effect,3,0.0311019215194921,0.0425975834153738,R
Wagepan,Baseline,Effect,4,0.0181627023972096,0.047209970184856,R
Wagepan,Baseline,Effect,5,-0.0499657708663151,0.0546254344032438,R
Wagepan,Placebos,Effect,1,0.0409507589219753,0.0339709086428129,R
Wagepan,Placebos,Effect,2,0.0218878146052099,0.0393387790490505,R
Wagepan,Placebos,Effect,3,0.0311019215194921,0.0425975834153738,R
Wagepan,Placebos,Effect,4,0.0181627023972096,0.047209970184856,R
Wagepan,Placebos,Effect,5,-0.0499657708663151,0.0546254344032438,R
Wagepan,Placebos,Placebo,1,-0.0883945688414893,0.0422581614516339,R
Wagepan,Placebos,Placebo,2,0.0370908370919698,0.0581036594868833,R
Wagepan,Normalized,Effect,1,0.0409507589219753,0.0339709086428129,R
Wagepan,Normalized,Effect,2,0.014070737960492,0.025289215102961,R
Wagepan,Normalized,Effect,3,0.0144914447519392,0.0198476652396906,R
Wagepan,Normalized,Effect,4,0.0067590209302593,0.0175685957748987,R
Wagepan,Normalized,Effect,5,-0.015279515168258,0.0167044386400078,R
Wagepan,Normalized,Placebo,1,-0.0883945688414893,0.0422581614516339,R
Wagepan,Normalized,Placebo,2,0.0247272247279799,0.0387357729912555,R
Wagepan,Controls,Effect,1,0.0400048246508408,0.0320587443849819,R
Wagepan,Controls,Effect,2,0.0109445372502894,0.0369062455696514,R
Wagepan,Controls,Effect,3,-8.07874683044826e-05,0.0413425478658112,R
Wagepan,Controls,Effect,4,-0.0046852377639111,0.0477966502379792,R
Wagepan,Controls,Effect,5,-0.0704547967770118,0.0547628546637807,R
Wagepan,Controls,Placebo,1,-0.0675098462549854,0.0417435974409961,R
Wagepan,Controls,Placebo,2,0.0585019968956182,0.0586135698728579,R
Wagepan,Trends_Nonparam,Effect,1,0.0397497671998484,0.0337262027466856,R
Wagepan,Trends_Nonparam,Effect,2,0.0258605998123675,0.039080719471039,R
Wagepan,Trends_Nonparam,Effect,3,0.0334369684189782,0.0424415002014662,R
Wagepan,Trends_Nonparam,Effect,4,0.0209025993186085,0.0466452906175303,R
Wagepan,Trends_Nonparam,Effect,5,-0.0436952242750416,0.0547109781484224,R
Wagepan,Trends_Nonparam,Placebo,1,-0.0931634566146544,0.0419019411762596,R
Wagepan,Trends_Nonparam,Placebo,2,0.0269629371186276,0.0587613667297537,R
Wagepan,Trends_Lin,Effect,1,-0.0660763199493341,0.0720155519537213,R
Wagepan,Trends_Lin,Effect,2,-0.197420168405642,0.118881140343982,R
Wagepan,Trends_Lin,Effect,3,-0.267400029826524,0.173514313888935,R
Wagepan,Trends_Lin,Effect,4,-0.35757634080273,0.252807622582512,R
Wagepan,Trends_Lin,Effect,5,-0.528716166647606,0.354921383357764,R
Wagepan,Trends_Lin,Placebo,1,-0.174808163366108,0.0939974424483986,R
Wagepan,Trends_Lin,Placebo,2,-0.211501858193003,0.1354876925386,R
Wagepan,Continuous,Effect,1,0.0409507589219753,0.033972316621048,R
Wagepan,Continuous,Effect,2,0.0131839836044913,0.0403667917983185,R
Wagepan,Continuous,Effect,3,0.0228333406576745,0.0430415432449484,R
Wagepan,Continuous,Effect,4,0.0057284751341968,0.048457304850076,R
Wagepan,Continuous,Effect,5,-0.0579700965213757,0.0558354375481706,R
Wagepan,Continuous,Placebo,1,-0.0787580791986695,0.0381338416516722,R
Wagepan,Continuous,Placebo,2,0.0373961853603213,0.0519353007035762,R
Wagepan,Weight,Effect,1,0.0504640597092505,0.033945542207857,R
Wagepan,Weight,Effect,2,0.0249797628261454,0.0399114381286495,R
Wagepan,Weight,Effect,3,0.0418596375394074,0.0426164208967596,R
Wagepan,Weight,Effect,4,0.0208927851899455,0.0487201035485469,R
Wagepan,Weight,Effect,5,-0.0575851463290556,0.0565596194522696,R
Wagepan,Weight,Placebo,1,-0.0811646058953602,0.0424708526132932,R
Wagepan,Weight,Placebo,2,0.040866535264217,0.0611291149624732,R
Wagepan,Cluster,Effect,1,0.0409507589219753,0.0285618462484819,R
Wagepan,Cluster,Effect,2,0.0218878146052099,0.0255911893841904,R
Wagepan,Cluster,Effect,3,0.0311019215194921,0.0278902117429067,R
Wagepan,Cluster,Effect,4,0.0181627023972096,0.010076505316252,R
Wagepan,Cluster,Effect,5,-0.0499657708663151,0.0275674121227839,R
Wagepan,Cluster,Placebo,1,-0.0883945688414893,0.100912592155345,R
Wagepan,Cluster,Placebo,2,0.0370908370919698,0.0958356817607476,R
