"Example","Model","Effect","Estimate_Stata","SE_Stata","Estimate_CRAN","SE_CRAN","Estimate_Polars","SE_Polars","Diff_Polars_Stata","Diff_CRAN_Stata"
"Wagepan","Cluster",4,0.0181626955133226,".",0.0181627023972097,0.010076505316252,0.0181627023972096,0.209293698034532,6.88388700209597e-09,6.88388709924048e-09
"Wagepan","Cluster",5,-0.0499657834854421,".",-0.0499657708663151,0.0275674121227839,-0.0499657708663151,0.259609208522312,1.26191270002907e-08,1.26191270002907e-08
"Wagepan","Controls",1,0.0400048207440371,".",0.0400048246508408,0.0327436813912981,0.0400048246508408,0.0327436813912981,3.90680369999341e-09,3.90680369999341e-09
"Wagepan","Controls",2,0.0109445389573796,".",0.0109445372502894,0.0432252026831132,0.0109445372502894,0.0432252026831132,1.70709020010096e-09,1.70709020010096e-09
"Wagepan","Controls",3,-8.07837809547e-05,".",-8.07874683044946e-05,0.0511594911966377,-8.07874683044826e-05,0.0511594911966377,3.68734978260701e-09,3.68734979460099e-09
"Wagepan","Controls",4,-0.0046852471560577,".",-0.00468523776391117,0.051120743694468,-0.00468523776391118,0.0511207436944681,9.39214651971693e-09,9.39214653012527e-09
"Wagepan","Controls",5,-0.0704548068549655,".",-0.0704547967770116,0.0586857796344611,-0.0704547967770118,0.0586857796344611,1.00779536937878e-08,1.00779539019547e-08
"Wagepan","Normalized",1,0.0409507583273315,".",0.0409507589219753,0.0339709086428129,0.0409507589219753,0.0339709086428129,5.946437994786e-10,5.946437994786e-10
"Wagepan","Normalized",2,0.0140707385586475,".",0.0140707379604921,0.025289215102961,0.014070737960492,0.025289215102961,5.98155500824982e-10,5.9815540021102e-10
"Wagepan","Normalized",3,0.0144914461125008,".",0.0144914447519392,0.0198476652396906,0.0144914447519392,0.0198476652396906,1.36056160088271e-09,1.36056160088271e-09
"Wagepan","Normalized",4,0.0067590183181489,".",0.00675902093025931,0.0175685957748987,0.00675902093025931,0.0175685957748987,2.61211040991638e-09,2.61211040991638e-09
"Wagepan","Normalized",5,-0.0152795192906782,".",-0.0152795151682581,0.0167044386400078,-0.015279515168258,0.0167044386400078,4.12242020034204e-09,4.12242009972807e-09
"Wagepan","Placebos",1,0.0409507582209782,".",0.0409507589219753,0.0339709086428129,0.0409507589219753,0.0339709086428129,7.00997100644418e-10,7.00997100644418e-10
"Wagepan","Placebos",2,0.0218878152185475,".",0.0218878146052098,0.0393387790490505,0.0218878146052099,0.0393387790490505,6.13337599458808e-10,6.13337700072769e-10
"Wagepan","Placebos",3,0.0311019248212154,".",0.0311019215194921,0.0425975834153738,0.0311019215194921,0.0425975834153738,3.30172330101353e-09,3.30172330101353e-09
"Wagepan","Placebos",4,0.0181626955133226,".",0.0181627023972097,0.047209970184856,0.0181627023972096,0.047209970184856,6.88388700209597e-09,6.88388709924048e-09
"Wagepan","Placebos",5,-0.0499657834854421,".",-0.0499657708663151,0.0546254344032438,-0.0499657708663151,0.0546254344032438,1.26191270002907e-08,1.26191270002907e-08
"Wagepan","Same_Switchers",1,0.046592549897415,".",0.0465925483984899,0.0409018030995624,0.0465925483984899,0.0409018030995624,1.49892510209471e-09,1.49892510209471e-09
"Wagepan","Same_Switchers",2,0.0338583159110927,".",0.0338583180940893,0.0469162293330123,0.0338583180940893,0.0469162293330123,2.18299659598964e-09,2.18299659598964e-09
"Wagepan","Same_Switchers",3,0.0485448789022384,".",0.0485448821903344,0.0492838846515323,0.0485448821903344,0.0492838846515323,3.2880959968673e-09,3.2880959968673e-09
