Example,Model,Type,Index,Estimate,SE
Wagepan,Switchers_Out,Effect,2,-.0010182020143358,.0621764046179762
Wagepan,Switchers_Out,Effect,3,.0131286166164033,.0617730507939989
Wagepan,Switchers_Out,Effect,4,.0093061265527108,.0660923697786084
Wagepan,Switchers_Out,Effect,5,-.0662071708111315,.0761446614534198
Wagepan,Switchers_Out,Placebo,1,-.0820640908024453,.0764612945613996
Wagepan,Switchers_Out,Placebo,2,.0383333746104612,.1019180934762208
Wagepan,Switchers_Out,Avg_Effect,0,-.0081432706069782,.0657594164165135
Wagepan,Only_Never_Switchers,Effect,1,.0370227805503277,.0332715245579343
Wagepan,Only_Never_Switchers,Effect,2,.0013780942122631,.040266679861073
Wagepan,Only_Never_Switchers,Effect,3,.0223836187328801,.0413721998950736
Wagepan,Only_Never_Switchers,Effect,4,-.0017149827983487,.0462793501869635
Wagepan,Only_Never_Switchers,Effect,5,-.0608601828678212,.0544282396182001
Wagepan,Only_Never_Switchers,Placebo,1,-.0757911498737126,.0392231087160782
Wagepan,Only_Never_Switchers,Placebo,2,.0437174888772018,.055601776870026
Wagepan,Only_Never_Switchers,Avg_Effect,0,.0046336299902119,.0540293297491548
Wagepan,CI_Level_90,Effect,1,.0409507582209782,.0339709095495669
Wagepan,CI_Level_90,Effect,2,.0218878152185475,.0393387800621144
Wagepan,CI_Level_90,Effect,3,.0311019248212154,.04259758453805
Wagepan,CI_Level_90,Effect,4,.0181626955133226,.0472099724664976
Wagepan,CI_Level_90,Effect,5,-.0499657834854421,.0546254372201278
Wagepan,CI_Level_90,Placebo,1,-.0883945682592297,.0422581613598943
Wagepan,CI_Level_90,Placebo,2,.0370908339898777,.0581036599982282
Wagepan,CI_Level_90,Avg_Effect,0,.0235192212472678,.0551657021888198
Wagepan,CI_Level_99,Effect,1,.0409507582209782,.0339709095495669
Wagepan,CI_Level_99,Effect,2,.0218878152185475,.0393387800621144
Wagepan,CI_Level_99,Effect,3,.0311019248212154,.04259758453805
Wagepan,CI_Level_99,Effect,4,.0181626955133226,.0472099724664976
Wagepan,CI_Level_99,Effect,5,-.0499657834854421,.0546254372201278
Wagepan,CI_Level_99,Placebo,1,-.0883945682592297,.0422581613598943
Wagepan,CI_Level_99,Placebo,2,.0370908339898777,.0581036599982282
Wagepan,CI_Level_99,Avg_Effect,0,.0235192212472678,.0551657021888198
Wagepan,Less_Conservative_SE,Effect,1,.0409507582209782,.0339709095495669
Wagepan,Less_Conservative_SE,Effect,2,.0218878152185475,.0385286913430163
Wagepan,Less_Conservative_SE,Effect,3,.0311019248212154,.0429979114362526
Wagepan,Less_Conservative_SE,Effect,4,.0181626955133226,.0469452981209198
Wagepan,Less_Conservative_SE,Effect,5,-.0499657834854421,.0533969864962683
Wagepan,Less_Conservative_SE,Placebo,1,-.0883945682592297,.0422581613598943
Wagepan,Less_Conservative_SE,Placebo,2,.0370908339898777,.0581036599982282
Wagepan,Less_Conservative_SE,Avg_Effect,0,.0235192212472678,.0537006184043981
Wagepan,Bootstrap,Effect,1,.0409507582209782,.0339709095495669
Wagepan,Bootstrap,Effect,2,.0218878152185475,.0393387800621144
Wagepan,Bootstrap,Effect,3,.0311019248212154,.04259758453805
Wagepan,Bootstrap,Effect,4,.0181626955133226,.0472099724664976
Wagepan,Bootstrap,Effect,5,-.0499657834854421,.0546254372201278
Wagepan,Bootstrap,Placebo,1,-.0883945682592297,.0422581613598943
Wagepan,Bootstrap,Placebo,2,.0370908339898777,.0581036599982282
Wagepan,Bootstrap,Avg_Effect,0,.0235192212472678,.0551657021888198
Wagepan,Dont_Drop_Larger_Lower,Effect,1,.0409507582209782,.0339709095495669
Wagepan,Dont_Drop_Larger_Lower,Effect,2,.0218878152185475,.0393387800621144
Wagepan,Dont_Drop_Larger_Lower,Effect,3,.0311019248212154,.04259758453805
Wagepan,Dont_Drop_Larger_Lower,Effect,4,.0181626955133226,.0472099724664976
Wagepan,Dont_Drop_Larger_Lower,Effect,5,-.0499657834854421,.0546254372201278
Wagepan,Dont_Drop_Larger_Lower,Placebo,1,-.0883945682592297,.0422581613598943
Wagepan,Dont_Drop_Larger_Lower,Placebo,2,.0370908339898777,.0581036599982282
Wagepan,Dont_Drop_Larger_Lower,Avg_Effect,0,.0235192212472678,.0551657021888198
Wagepan,Effects_Equal,Effect,1,.0409507582209782,.0339709095495669
Wagepan,Effects_Equal,Effect,2,.0218878152185475,.0393387800621144
Wagepan,Effects_Equal,Effect,3,.0311019248212154,.04259758453805
Wagepan,Effects_Equal,Effect,4,.0181626955133226,.0472099724664976
Wagepan,Effects_Equal,Effect,5,-.0499657834854421,.0546254372201278
Wagepan,Effects_Equal,Placebo,1,-.0883945682592297,.0422581613598943
Wagepan,Effects_Equal,Placebo,2,.0370908339898777,.0581036599982282
Wagepan,Effects_Equal,Avg_Effect,0,.0235192212472678,.0551657021888198
Favara_Imbs,Baseline,Effect,1,.0024102751877014,.0029987888317247
Favara_Imbs,Baseline,Effect,2,.0055268159428213,.0038887988824602
Favara_Imbs,Baseline,Effect,3,.0081491954767889,.0051571047240076
Favara_Imbs,Baseline,Effect,4,.0116606590841804,.0059146887677514
Favara_Imbs,Baseline,Effect,5,.0173245008139858,.0065488609851912
Favara_Imbs,Baseline,Placebo,1,-.002369608579105,.003652244610557
Favara_Imbs,Baseline,Placebo,2,.0027088243197296,.0074288774125806
Favara_Imbs,Baseline,Placebo,3,-.0109803007851131,.0055698408350906
Favara_Imbs,Baseline,Avg_Effect,0,.0041923963638153,.0018365659672239
Deryugina,Baseline,Effect,1,.0108629235458889,.0016169631432177
Deryugina,Baseline,Effect,2,.0127917844925642,.0023650973600429
Deryugina,Baseline,Effect,3,.0158004616427043,.0030074606277787
Deryugina,Baseline,Effect,4,.0163886433729818,.0033929801114922
Deryugina,Baseline,Effect,5,.0230699228957321,.0038968470349381
Deryugina,Baseline,Effect,6,.02682852041142,.0042507507829921
Deryugina,Baseline,Effect,7,.0377147289757426,.0044925685633103
Deryugina,Baseline,Effect,8,.0392922482316796,.0050394359109699
Deryugina,Baseline,Effect,9,.0351089687737702,.00551851738895
Deryugina,Baseline,Effect,10,.0494015810449095,.0060290186521485
Deryugina,Baseline,Effect,11,.0518122837750441,.0061054919253392
Deryugina,Baseline,Placebo,1,-.0055902609314915,.0013172533728043
Deryugina,Baseline,Placebo,2,-.0083553866676062,.0020689345434654
Deryugina,Baseline,Placebo,3,-.0128183077086481,.0029770331211611
Deryugina,Baseline,Placebo,4,-.0091429871822088,.0033686428914515
Deryugina,Baseline,Placebo,5,-.0075546179921504,.0039816464675678
Deryugina,Baseline,Placebo,6,-.0073115140369315,.0043748194350685
Deryugina,Baseline,Placebo,7,-.0079583384111187,.0047566441553619
Deryugina,Baseline,Placebo,8,-.0088409639578879,.0053183751521292
Deryugina,Baseline,Placebo,9,-.0143815702182803,.0058362585412934
Deryugina,Baseline,Placebo,10,-.0086497799450073,.0061280910298887
Deryugina,Baseline,Placebo,11,-.0035923793101061,.0066903976720134
Deryugina,Baseline,Avg_Effect,0,.3190720838826279,.0406001082050671
Gentzkow,Non_Normalized,Effect,1,.014424434385508,.0042476518385945
Gentzkow,Non_Normalized,Effect,2,.0190899417120848,.0058428892649867
Gentzkow,Non_Normalized,Effect,3,.0207146717465281,.0079163611938503
Gentzkow,Non_Normalized,Effect,4,.0272653448598984,.0097923569034076
Gentzkow,Non_Normalized,Placebo,1,-.0005024747702443,.0051322405480301
Gentzkow,Non_Normalized,Placebo,2,.002059406457175,.0085030744853346
Gentzkow,Non_Normalized,Placebo,3,-.0015364930550216,.0116824694226158
Gentzkow,Non_Normalized,Placebo,4,.0006572647878747,.0175031685936167
Gentzkow,Non_Normalized,Avg_Effect,0,.0160564992255824,.0047760609186379
Gentzkow,Normalized,Effect,1,.01201857161618,.0035391826437255
Gentzkow,Normalized,Effect,2,.0082125706150681,.0025136347406629
Gentzkow,Normalized,Effect,3,.0057192022341636,.0021856619878084
Gentzkow,Normalized,Effect,4,.0053872703139323,.001934839772621
Gentzkow,Normalized,Placebo,1,-.0004158094067913,.0042470468651566
Gentzkow,Normalized,Placebo,2,.0008699417935676,.0035918989390555
Gentzkow,Normalized,Placebo,3,-.0004201185140541,.0031943012552325
Gentzkow,Normalized,Placebo,4,.0001394198050939,.003712793380791
Gentzkow,Normalized,Avg_Effect,0,.0160564992255824,.0047760609186379
