index,count,mean,std,min,25%,50%,75%,max
dof_y_1_N_gt_XX,4360.0,0.875,0.33075684688932155,0.0,1.0,1.0,1.0,1.0
dof_ns_1_XX,4360.0,0.5782110091743119,0.49390179930120653,0.0,0.0,1.0,1.0,1.0
dof_s_1_XX,4360.0,0.03279816513761468,0.1781283889800095,0.0,0.0,0.0,0.0,1.0
count_cohort_1_ns_t_XX,2521.0,3178.39111328125,1107.1824951171875,407.0,3167.0,3503.0,3838.0,4291.0
total_cohort_1_ns_t_XX,2521.0,244.84420776367188,135.8800811767578,-3.0705738067626953,165.58883666992188,229.73451232910156,314.7995910644531,504.9999694824219
mean_cohort_1_ns_t_XX,2521.0,0.07088718563318253,0.028030745685100555,-0.005542552098631859,0.06213672459125519,0.07633274048566818,0.08202178031206131,0.11768817901611328
dof_cohort_1_ns_t_XX,2521.0,267.4323681078937,93.64100800643494,34.0,265.0,294.0,324.0,363.0
count_cohort_1_s_t_XX,143.0,348.98602294921875,172.53549194335938,84.0,168.0,453.0,522.0,522.0
total_cohort_1_s_t_XX,143.0,72.2049789428711,62.14838409423828,-12.868179321289062,13.981569290161133,74.94471740722656,152.91583251953125,152.91583251953125
mean_cohort_1_s_t_XX,143.0,0.16336849331855774,0.1264289766550064,-0.10967065393924713,0.09078940749168396,0.1654408723115921,0.29294219613075256,0.29294219613075256
dof_cohort_1_s_t_XX,143.0,30.216783216783217,14.722379180498114,7.0,15.0,39.0,45.0,45.0
dof_ns_s_1_XX,4360.0,0.6110091743119266,0.487577161882512,0.0,0.0,1.0,1.0,1.0
count_cohort_1_ns_s_t_XX,2664.0,3429.86962890625,1227.23828125,407.0,3335.0,3657.0,4291.0,4813.0
total_cohort_1_ns_s_t_XX,2664.0,287.7553405761719,187.01661682128906,-3.0705738067626953,179.5703887939453,272.3517761230469,389.7443542480469,657.91552734375
mean_cohort_1_ns_s_t_XX,2664.0,0.07576432079076767,0.03407476842403412,-0.005542552098631859,0.05650505796074867,0.08110883086919785,0.09082832932472229,0.1366955190896988
dof_cohort_1_ns_s_t_XX,2664.0,289.2027027027027,104.16519445495923,34.0,280.0,308.0,363.0,408.0
E_hat_gt_1_XX,2664.0,0.07585146716920317,0.04506091378310762,-0.10967065393924713,0.06213672459125519,0.07633274048566818,0.08202178031206131,0.29294219613075256
DOF_gt_1_XX,2664.0,1.004046583770671,0.007630504711983149,1.0013802629067674,1.001546791334383,1.0017467262220046,1.0018921492794914,1.0801234497346435
dummy_U_Gg1_XX,4360.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
N1_1_XX,4360.0,1646.0,0.0,1646.0,1646.0,1646.0,1646.0,1646.0
G_XX,4360.0,545.0,0.0,545.0,545.0,545.0,545.0,545.0
U_Gg1_temp_XX,3815.0,0.011120257856996978,0.4581504628080774,-5.483576861070978,-0.016957730102596096,0.0,0.0,11.398363733349566
U_Gg1_XX,4360.0,0.009730225624872357,0.43394293122895045,-5.550270752134864,-0.0,-0.0,0.0,11.398363733349566
count1_core_XX,4360.0,6.159633159637451,6.079914569854736,0.0,0.0,8.0,12.0,16.0
U_Gg1_temp_var_XX,2664.0,4.788695196801008e-09,0.5232627658912136,-5.491497197146617,-0.02337558767654702,0.0,0.025951958661314566,10.350072623693153
U_Gg1_var_XX,4360.0,2.3407493585830983e-08,1.1752329160075703,-5.814248643940816,-0.12320031830611158,0.0,0.10450637284358935,10.472637331809626
diff_y_2_XX,3270.0,0.12664231657981873,0.4691137969493866,-4.289513111114502,-0.053782522678375244,0.09971553087234497,0.286411315202713,4.96877908706665
never_change_d_2_XX,3270.0,0.6321100917431193,0.4823049457358336,0.0,0.0,1.0,1.0,1.0
never_change_d_2_wXX,3270.0,7.529357798165138,5.922221521953355,0.0,0.0,11.0,12.0,16.0
N_gt_control_2_XX,4360.0,2073.882110091743,1620.843371664243,0.0,305.25,3167.0,3503.0,3838.0
distance_to_switch_2_XX,3270.0,0.03914373088685015,0.19396650413187183,0.0,0.0,0.0,0.0,1.0
distance_to_switch_2_wXX,3270.0,0.45198776758409787,2.258863922846339,0.0,0.0,0.0,0.0,15.0
N1_t_2_XX,4360.0,184.75,185.5008890405232,0.0,63.0,119.0,249.0,522.0
N_dw1_t_2_XX,4360.0,16.0,16.00183517807566,0.0,5.25,10.5,21.75,45.0
N1_t_2_g_XX,4360.0,138.30825688073395,179.40270614190098,0.0,0.0,84.0,181.0,522.0
diff_y_2_N_gt_XX,3270.0,1.5154926776885986,5.668531894683838,-55.763671875,-0.6297566294670105,1.154019832611084,3.3789443969726562,64.59413146972656
